district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Shariatpur,Bhedarganj,23.267008,90.414774,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.392,0.0,0.0,0.0,1.0,30.12
Narayanganj,Narayanganj Railway Station,23.6187,90.5056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Narsingdi,Madhabdi Bazar,23.8505,90.6744,0,0,0,2,33,4,0,0,0,2,0,0,6,1,0,0,3.0,0.45,0.433,0.2,0.4,0.233,1.0,45.0
Moulvibazar,Moulvibazar Govt College,24.48,91.779,0,0,0,4,18,2,0,0,2,0,0,0,0,1,0,1,1.338,0.45,0.517,0.2,0.0,0.033,0.446,27.21
Meherpur,Meherpur General Hospital,23.778018,88.642587,0,2,1,0,17,0,0,0,1,0,0,0,1,0,4,1,1.706,0.45,0.475,0.05,0.0,0.167,0.569,28.06
Meherpur,Meherpur Govt College,23.767924,88.641109,0,3,0,0,26,0,0,0,1,0,0,0,0,4,0,1,1.979,0.45,0.475,0.05,0.0,0.133,0.66,28.47
Meherpur,Mujibnagar Memorial,23.649909,88.597724,0,2,0,0,5,3,0,1,1,0,0,0,1,0,0,0,3.0,0.45,0.433,0.25,0.0,0.033,1.0,35.0
Moulvibazar,Moulvibazar Bus Terminal,24.485683,91.765851,0,0,1,3,21,1,0,0,5,1,0,0,20,3,2,1,0.688,0.45,0.517,0.3,0.2,0.833,0.229,43.04
Moulvibazar,Moulvibazar Sadar,24.481265,91.858094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Moulvibazar,Sreemangal Road,24.30734,91.733739,0,0,6,4,21,0,3,0,4,2,2,0,7,2,2,2,0.4,0.45,0.767,0.35,0.8,0.367,0.133,44.33
Munshiganj,Muktarpur Bridge,23.539816,90.337788,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.392,0.0,0.0,0.0,1.0,30.12
Munshiganj,Munshiganj Bus Stand,23.5517,90.53459,0,4,6,2,25,1,0,0,0,0,0,0,3,2,3,1,0.181,0.45,0.85,0.05,0.0,0.267,0.06,18.85
Munshiganj,Munshiganj General Hospital,23.001406,91.405329,0,0,5,0,19,0,0,0,0,1,0,0,7,0,0,5,1.339,0.45,0.558,0.0,0.2,0.233,0.446,29.59
Munshiganj,Munshiganj Launch Ghat,23.558352,90.532681,0,6,2,3,16,2,0,0,0,0,0,0,0,4,3,1,0.584,0.45,0.808,0.1,0.0,0.233,0.195,21.32
Munshiganj,Munshiganj Sadar,23.5517,90.53459,0,4,6,2,25,1,0,0,0,0,0,0,3,2,3,1,0.181,0.45,0.85,0.05,0.0,0.267,0.06,18.85
Naogaon,Mukter Para,24.78333,88.68333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Naogaon,Naogaon Bus Terminal,24.96497,88.903607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Naogaon,Naogaon Govt College,24.921304,88.748983,0,1,3,1,7,0,0,0,0,0,0,0,7,1,5,0,3.0,0.45,0.558,0.0,0.0,0.433,1.0,34.12
Naogaon,Naogaon Sadar,24.88294,88.807071,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.45,0.475,0.0,0.0,0.067,1.0,29.88
Naogaon,Naogaon Sadar Hospital,24.913015,88.753215,0,1,3,0,4,0,0,0,1,0,0,0,7,2,0,0,3.0,0.45,0.517,0.05,0.0,0.3,1.0,33.75
Narail,Narail Govt Victoria College,23.162104,89.498883,0,0,0,4,1,0,10,0,0,0,0,0,0,1,0,1,1.299,0.45,0.517,0.5,0.0,0.033,0.433,33.08
Narail,Narail Sadar,23.15509,89.49515,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2.142,0.45,0.392,0.0,0.0,0.033,0.714,27.77
Narail,Rupganj Bazar Narail,23.15509,89.49515,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2.142,0.45,0.392,0.0,0.0,0.033,0.714,27.77
Narayanganj,Adamjee EPZ,23.676402,90.524429,0,0,0,0,25,0,0,0,9,0,0,0,0,0,0,2,0.76,0.45,0.35,0.45,0.0,0.0,0.253,32.28
